term_lower	term	confidence	origin	defined_in
`n-ary'	`n-ary'	medium	planetmath	NsupercategoryTheory;Supercategory
`neuro-groupoids' [33].	`neuro-groupoids' [33].	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`non-abelian	`non-Abelian	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`non-abelian algebraic topology'	`Non-Abelian Algebraic Topology'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`objective existence'	`objective existence'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`pursuing stacks'	`Pursuing Stacks'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`quantum' double groupoids	`quantum' double groupoids	medium	planetmath	QuantumGroupoids
`quantum' riemannian geometry	`quantum' Riemannian geometry	medium	planetmath	QuantumGeometry
`relation'	`relation'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`sheaf cohomology'	`sheaf cohomology'	medium	planetmath	MathematicalProgramsInQuantumGravity
`structural
foundations of quantum gravity	`Structural
Foundations of Quantum Gravity	medium	planetmath	GeneralizedVanKampenSiefertTheoremForDoubleGroupoids
`super--complex, biological
systems'	`Super--Complex, Biological
systems'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`supercategory	`supercategory	medium	planetmath	NsupercategoryTheory;Supercategory
`synthesis of syntheses'	`synthesis of syntheses'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
a 18	A 18	medium	planetmath	QuantumGroupoids
a and b	a and b	medium	planetmath	BetaRandomVariable
a century of mathematics in america	A Century of Mathematics in America	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
a concise course in algebraic topology	A Concise Course in Algebraic Topology	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
a concise course in algebraic topology.	A Concise Course in Algebraic Topology.	medium	planetmath	DerivationOfCohomologyGroupTheoremForConnectedCWcomplexes
a course in probability theory	A Course in Probability Theory	medium	planetmath	BibliographyForProbability
a first course in probability	A First Course in Probability	medium	planetmath	BibliographyForProbability
a first course in stochastic
processes	A First Course in Stochastic
Processes	medium	planetmath	BibliographyForProbability
a fortiori	a fortiori	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
