# control-sequence	role	source-binding
# Mined from LaTeXML 0.8.8 bindings (/usr/share/perl5/LaTeXML/Package)
# DefMath role=>/meaning=> declarations. Use: R14 lexeme classes +
# classification step 3 (standard math vocabulary with semantic roles).
boxdiv	ADDOP	mathabx.sty
boxdot	MULOP	stmaryrd.sty
boxdotLeft	RELOP	txfonts.sty
boxdotRight	RELOP	txfonts.sty
boxdotleft	RELOP	txfonts.sty
boxdotright	RELOP	txfonts.sty
boxempty	RELOP	stmaryrd.sty
boxleft	RELOP	txfonts.sty
boxminus	ADDOP	amssymb.sty
boxplus	ADDOP	amssymb.sty
boxright	RELOP	txfonts.sty
boxslash	BINOP	stmaryrd.sty
boxtimes	MULOP	amssymb.sty
boxtop	ADDOP	mathabx.sty
boxtriangleup	ADDOP	mathabx.sty
bra	MEANING:bra	braket.sty
bracevert	VERTBAR	TeX.pool
breve	OVERACCENT	TeX.pool
bullet	MULOP	TeX.pool
bumpedeq	RELOP	mathabx.sty
bumpeq	RELOP	amssymb.sty
cap	ADDOP	TeX.pool
cdot	MULOP	TeX.pool
cdotp	MULOP	LaTeX.pool
cdots	ID	TeX.pool
centerdot	MULOP	amssymb.sty
check	OVERACCENT	TeX.pool
circ	MULOP	TeX.pool
circeq	RELOP	amssymb.sty
circlearrowleft	ARROW	amssymb.sty
circlearrowright	ARROW	amssymb.sty
circledast	MULOP	amssymb.sty
circledcirc	MULOP	amssymb.sty
circleddash	ADDOP	amssymb.sty
circleddotleft	RELOP	txfonts.sty
circleddotright	RELOP	txfonts.sty
circledgtr	RELOP	txfonts.sty
circledless	RELOP	txfonts.sty
circleleft	RELOP	txfonts.sty
circleright	RELOP	txfonts.sty
circplus	MULOP	mathabx.sty
colon	METARELOP	TeX.pool
colonapprox	RELOP	mathtools.sty
coloneq	RELOP	mathtools.sty
coloneqq	RELOP	mathtools.sty
colonsim	RELOP	mathtools.sty
complement	MEANING:complement	amssymb.sty
cong	RELOP	TeX.pool
convolution	MULOP	mathabx.sty
coprod	SUMOP	TeX.pool
cor	RELOP	mn2e_support.sty
corresponds	RELOP	mathabx.sty
cos	TRIGFUNCTION	TeX.pool
cosh	TRIGFUNCTION	TeX.pool
cot	TRIGFUNCTION	TeX.pool
coth	TRIGFUNCTION	TeX.pool
crossproduct	MULOP	physics.sty
csc	TRIGFUNCTION	TeX.pool
cup	ADDOP	TeX.pool
curlyeqprec	RELOP	amssymb.sty
curlyeqsucc	RELOP	amssymb.sty
curlyvee	ADDOP	amssymb.sty
curlyveedownarrow	ARROW	stmaryrd.sty
curlyveeuparrow	ARROW	stmaryrd.sty
curlywedge	ADDOP	amssymb.sty
curlywedgedownarrow	ARROW	stmaryrd.sty
curlywedgeuparrow	ARROW	stmaryrd.sty
curvearrowbotright	ARROW	mathabx.sty
curvearrowleft	ARROW	amssymb.sty
curvearrowright	ARROW	amssymb.sty
d	DIFFOP	elsart_support.sty
dagger	MULOP	TeX.pool
dashV	RELOP	mathabx.sty
dashVv	RELOP	mathabx.sty
dasharrow	ARROW	amsfonts.sty
dashleftarrow	ARROW	amsfonts.sty
dashrightarrow	ARROW	amsfonts.sty
dashv	METARELOP	TeX.pool
dbinom	MEANING:binomial	amsmath.sty
dblcolon	RELOP	mathtools.sty
ddagger	MULOP	TeX.pool
ddddot	OVERACCENT	mathdots.sty
dddot	OVERACCENT	mathdots.sty
ddot	OVERACCENT	TeX.pool
ddots	ID	TeX.pool
deg	OPFUNCTION	TeX.pool
degree	RELOP	mathabx.sty
det	LIMITOP	TeX.pool
diamond	ADDOP	TeX.pool
dim	LIMITOP	TeX.pool
div	MULOP	TeX.pool
divdot	MULOP	mathabx.sty
divideontimes	MULOP	amssymb.sty
divides	RELOP	mathabx.sty
dlsh	ARROW	mathabx.sty
dot	OVERACCENT	TeX.pool
dotdiv	MULOP	mathabx.sty
doteq	RELOP	TeX.pool
doteqdot	RELOP	amssymb.sty
dotplus	ADDOP	amssymb.sty
dotproduct	MULOP	physics.sty
dotsb	ID	amsmath.sty
dotsc	ID	amsmath.sty
dotsi	ID	amsmath.sty
dotsint	INTOP	esint.sty
dotsintop	INTOP	esint.sty
dotsm	ID	amsmath.sty
dotso	ID	amsmath.sty
dottimes	MULOP	mathabx.sty
doublebarwedge	ADDOP	amssymb.sty
doublecap	ADDOP	amssymb.sty
doublecup	ADDOP	amssymb.sty
downarrow	ARROW	TeX.pool
downdownarrows	ARROW	amssymb.sty
downdownharpoons	ARROW	mathabx.sty
downharpoonleft	ARROW	amssymb.sty
downharpoonright	ARROW	amssymb.sty
downtouparrow	ARROW	mathabx.sty
downuparrows	ARROW	mathabx.sty
downupharpoons	ARROW	mathabx.sty
drsh	ARROW	mathabx.sty
e	ID	elsart_support.sty
emptyset	ID	TeX.pool
eqcirc	RELOP	amssymb.sty
eqcolon	RELOP	mathtools.sty
eqqcolon	RELOP	mathtools.sty
eqsim	RELOP	txfonts.sty
eqslantgtr	RELOP	amssymb.sty
eqslantless	RELOP	amssymb.sty
equiv	RELOP	TeX.pool
exists	BIGOP	TeX.pool
exp	OPFUNCTION	TeX.pool
fallingdotseq	RELOP	amssymb.sty
fatbslash	ARROW	stmaryrd.sty
fatsemi	RELOP	stmaryrd.sty
fatslash	ARROW	stmaryrd.sty
fint	INTOP	txfonts.sty
fintop	INTOP	txfonts.sty
forall	BIGOP	TeX.pool
fourth	RELOP	mathabx.sty
frown	RELOP	TeX.pool
ga	RELOP	mn2e_support.sty
gcd	OPFUNCTION	TeX.pool
geq	RELOP	TeX.pool
geqq	RELOP	amssymb.sty
geqslant	RELOP	mn2e_support.sty
getsto	ARROW	mn2e_support.sty
gg	RELOP	TeX.pool
ggcurly	RELOP	mathabx.sty
ggg	RELOP	amssymb.sty
gggtr	RELOP	amssymb.sty
gid	RELOP	mn2e_support.sty
gnapprox	RELOP	amssymb.sty
gneq	RELOP	amssymb.sty
gneqq	RELOP	amssymb.sty
gnsim	RELOP	amssymb.sty
goa	RELOP	mn2e_support.sty
grave	OVERACCENT	TeX.pool
grole	RELOP	mn2e_support.sty
gse	RELOP	mn2e_support.sty
gtrapprox	RELOP	amssymb.sty
gtrdot	RELOP	amssymb.sty
gtreqless	RELOP	amssymb.sty
gtreqqless	RELOP	amssymb.sty
gtrless	RELOP	amssymb.sty
gtrsim	RELOP	revsymb.sty
gvertneqq	RELOP	amssymb.sty
hash	RELOP	mathabx.sty
hat	OVERACCENT	TeX.pool
hbar	ID	TeX.pool
hom	OPFUNCTION	TeX.pool
hookleftarrow	ARROW	TeX.pool
hookrightarrow	ARROW	TeX.pool
hslash	ID	amssymb.sty
iddots	ID	mathdots.sty
idotsint	INTOP	txfonts.sty
idotsintop	INTOP	txfonts.sty
iff	METARELOP	TeX.pool
iiiint	INTOP	txfonts.sty
iiiintop	INTOP	txfonts.sty
iiint	INTOP	txfonts.sty
iiintop	INTOP	txfonts.sty
iint	INTOP	txfonts.sty
iintop	INTOP	txfonts.sty
impliedby	ARROW	amsmath.sty
implies	ARROW	amsmath.sty
in	RELOP	TeX.pool
inf	LIMITOP	TeX.pool
infty	ID	TeX.pool
injlim	LIMITOP	amsopn.sty
inplus	RELOP	stmaryrd.sty
int	INTOP	TeX.pool
intercal	ADDOP	amssymb.sty
interleave	RELOP	stmaryrd.sty
intop	INTOP	LaTeX.pool
ker	OPFUNCTION	TeX.pool
ket	MEANING:ket	braket.sty
lJoin	RELOP	txfonts.sty
lVert	OPEN	amsmath.sty
la	RELOP	mn2e_support.sty
land	ADDOP	TeX.pool
landdownint	INTOP	esint.sty
landdownintop	INTOP	esint.sty
landupint	INTOP	esint.sty
landupintop	INTOP	esint.sty
langle	OPEN	TeX.pool
lbag	OPEN	stmaryrd.sty
lceil	OPEN	TeX.pool
ldbrack	OPEN	mathabx.sty
ldotp	MULOP	LaTeX.pool
leadsto	ARROW	TeX.pool
leftarrow	ARROW	TeX.pool
leftarrowfill@	ARROW	amscd.sty
leftarrowtail	ARROW	amssymb.sty
leftarrowtriangle	ARROW	stmaryrd.sty
leftbarharpoon	ARROW	mathabx.sty
leftharpoondown	ARROW	TeX.pool
leftharpoonup	ARROW	TeX.pool
leftleftarrows	ARROW	amssymb.sty
leftleftharpoons	ARROW	mathabx.sty
leftrightarrow	METARELOP	TeX.pool
leftrightarroweq	ARROW	stmaryrd.sty
leftrightarrows	ARROW	amssymb.sty
leftrightarrowtriangle	ARROW	stmaryrd.sty
leftrightharpoon	ARROW	mathabx.sty
leftrightharpoons	ARROW	amssymb.sty
leftrightsquigarrow	ARROW	amssymb.sty
leftslice	RELOP	stmaryrd.sty
leftsquigarrow	RELOP	txfonts.sty
leftthreetimes	MULOP	amssymb.sty
lefttorightarrow	ARROW	mathabx.sty
leogr	RELOP	mn2e_support.sty
leq	RELOP	TeX.pool
leqq	RELOP	amssymb.sty
leqslant	RELOP	mn2e_support.sty
lessapprox	RELOP	amssymb.sty
lessdot	RELOP	amssymb.sty
lesseqgtr	RELOP	amssymb.sty
lesseqqgtr	RELOP	amssymb.sty
lessgtr	RELOP	amssymb.sty
lesssim	RELOP	revsymb.sty
lfloor	OPEN	TeX.pool
lg	OPFUNCTION	TeX.pool
lgroup	OPEN	TeX.pool
lhd	ADDOP	TeX.pool
lid	RELOP	mn2e_support.sty
lightning	ARROW	stmaryrd.sty
lim	LIMITOP	TeX.pool
liminf	LIMITOP	TeX.pool
limsup	LIMITOP	TeX.pool
ll	RELOP	TeX.pool
llbracket	OPEN	stmaryrd.sty
llceil	OPEN	stmaryrd.sty
llcurly	RELOP	mathabx.sty
llfloor	OPEN	stmaryrd.sty
lll	RELOP	amssymb.sty
llless	RELOP	amssymb.sty
llparenthesis	OPEN	stmaryrd.sty
lmoustache	OPEN	TeX.pool
ln	OPFUNCTION	TeX.pool
lnapprox	RELOP	amssymb.sty
lneq	RELOP	amssymb.sty
lneqq	RELOP	amssymb.sty
lnot	BIGOP	TeX.pool
lnsim	RELOP	amssymb.sty
loa	RELOP	mn2e_support.sty
loarrow	OVERACCENT	revsymb.sty
log	OPFUNCTION	TeX.pool
longarrownot	RELOP	stmaryrd.sty
longleftarrow	ARROW	TeX.pool
longleftrightarrow	METARELOP	TeX.pool
longmapsfrom	ARROW	stmaryrd.sty
longmapsto	ARROW	TeX.pool
longrightarrow	ARROW	TeX.pool
looparrowleft	ARROW	amssymb.sty
looparrowright	ARROW	amssymb.sty
lor	ADDOP	TeX.pool
lparen	OPEN	mathtools.sty
lrJoin	RELOP	txfonts.sty
lrtimes	RELOP	txfonts.sty
lse	RELOP	mn2e_support.sty
lshad	OPEN	iopart_support.sty
ltimes	MULOP	amssymb.sty
lvert	OPEN	amsmath.sty
lvertneqq	RELOP	amssymb.sty
